,condition
FA01,FA
FA02,FA
FA03,FA
FA04,FA
FA05,FA
FA06,FA
FA07,FA
FA08,FA
FA09,FA
FA10,FA
FA13,FA
FA14,FA
FA15,FA
FA16,FA
FA17,FA
FA20,FA
FA21,FA
FA22,FA
FA23,FA
FA24,FA
FA25,FA
FA11,HA
FA12,HA
FA18,HA
